58.907, -65.959, 80
58.832, -63.96, 80
58.756, -61.962, 80
58.68, -59.963, 80
58.604, -57.965, 80
58.528, -55.966, 80
58.452, -53.968, 78.888
58.376, -51.969, 75.6
58.3, -49.97, 72.162
58.224, -47.972, 68.552
58.578, -46.667, 66
58.21, -46.278, 75.159
56.478, -45.278, 76.897
54.718, -44.327, 77.358
52.937, -43.417, 77.401
51.136, -42.548, 77.328
49.317, -41.716, 77.02
47.477, -40.933, 76.777
45.618, -40.196, 76.465
43.74, -39.51, 76.069
41.839, -38.889, 74.94
39.914, -38.345, 74.143
37.969, -37.884, 70.995
36, -37.533, 67.323
34.011, -37.332, 63.44
32.012, -37.297, 59.304
30.029, -37.536, 54.859
28.112, -38.089, 50.028
26.365, -39.051, 47.194
24.964, -40.469, 48.344
23.981, -42.2, 57.046
23.394, -44.107, 58.696
23.115, -46.085, 54.201
23.037, -48.084, 49.292
22.954, -50.082, 43.838
22.829, -52.078, 37.6
22.608, -54.065, 30.098
22.084, -55.987, 20
20.502, -56.959, 20
18.587, -56.419, 68.382
16.766, -55.593, 79.879
14.961, -54.731, 77.615
13.146, -53.892, 77.073
11.313, -53.092, 76.581
9.457, -52.347, 76.514
7.581, -51.653, 76.519
5.686, -51.015, 76.576
3.773, -50.432, 76.669
1.844, -49.904, 76.789
-0.099, -49.43, 76.926
-2.054, -49.008, 77.074
-4.018, -48.634, 77.229
-5.991, -48.307, 77.306
-7.97, -48.02, 73.947
-9.956, -47.784, 70.429
-11.947, -47.592, 66.725
-13.941, -47.434, 62.804
-15.937, -47.311, 58.62
-17.935, -47.237, 54.114
-19.935, -47.186, 49.197
-21.934, -47.173, 43.731
-23.896, -47.252, 37.599
-24.979, -48.93, 30.103
-26.337, -50.389, 20
-28.21, -50.671, 20
-29.535, -49.224, 59.048
-30.302, -47.38, 67.083
-30.831, -45.453, 73.957
-31.219, -43.491, 75.504
-31.518, -41.514, 76.498
-31.749, -39.528, 77.159
-31.926, -37.536, 77.609
-32.059, -35.54, 77.918
-32.154, -33.542, 78.128
-32.214, -31.543, 78.265
-32.239, -29.544, 78.265
-32.234, -27.544, 78.343
-32.201, -25.544, 78.371
-32.143, -23.545, 78.351
-32.058, -21.547, 78.283
-31.944, -19.55, 78.283
-31.797, -17.555, 76.524
-31.621, -15.563, 73.13
-31.413, -13.574, 69.57
-31.168, -11.589, 65.818
-30.883, -9.61, 61.839
-30.549, -7.638, 57.586
-30.155, -5.677, 52.992
-29.685, -3.734, 47.961
-29.112, -1.819, 42.337
-28.393, 0.047, 35.843
-27.366, 1.758, 27.891
-25.749, 2.823, 20
-23.864, 2.324, 78.219
-21.87, 2.178, 78.072
-19.873, 2.064, 77.91
-17.875, 1.982, 75.558
-15.875, 1.937, 72.118
-13.875, 1.935, 68.506
-11.876, 1.978, 64.692
-9.878, 2.075, 60.639
-7.884, 2.231, 56.295
-5.898, 2.458, 51.586
-3.922, 2.767, 46.403
-1.965, 3.181, 40.562
-0.035, 3.703, 33.724
0.244, 2.712, 29.594
-1.233, 1.559, 20
-3.173, 1.642, 20
-4.152, 3.305, 41.651
-4.273, 5.294, 66.046
-4.091, 7.285, 73.847
-3.762, 9.257, 75.707
-3.352, 11.215, 76.949
-2.888, 13.16, 78.454
-2.385, 15.096, 78.942
-1.859, 17.025, 79.335
-1.318, 18.95, 79.668
-0.767, 20.873, 79.969
-0.211, 22.794, 79.743
0.344, 24.716, 79.122
0.893, 26.639, 75.844
1.433, 28.565, 72.417
1.958, 30.495, 68.82
2.46, 32.43, 65.025
2.933, 34.374, 60.994
3.366, 36.326, 56.677
3.744, 38.29, 52.003
4.047, 40.266, 46.866
4.231, 42.257, 41.093
4.221, 44.256, 34.366
3.844, 46.212, 25.981
2.718, 47.818, 20
0.814, 48.279, 27.747
-0.326, 49.185, 20
-1.903, 50.341, 44.007
-3.845, 50.8, 68.659
-5.835, 50.991, 73.999
-7.834, 51.047, 75.503
-9.834, 51.021, 77.372
